"TCGA-02-0001-01C-01R-0179-07" "TCGA-02-0003-01A-01R-0179-07" "TCGA-02-0006-01B-01R-0179-07" "TCGA-02-0007-01A-01R-0179-07" "TCGA-02-0009-01A-01R-0179-07" "TCGA-02-0010-01A-01R-0179-07" "TCGA-02-0011-01B-01R-0179-07" "TCGA-02-0014-01A-01R-0179-07" "TCGA-02-0021-01A-01R-0179-07" "TCGA-02-0024-01B-01R-0179-07" "TCGA-02-0027-01A-01R-0179-07" "TCGA-02-0028-01A-01R-0179-07" "TCGA-02-0033-01A-01R-0179-07" "TCGA-02-0034-01A-01R-0179-07" "TCGA-02-0037-01A-01R-0179-07" "TCGA-02-0038-01A-01R-0179-07" "TCGA-02-0043-01A-01R-0179-07" "TCGA-02-0047-01A-01R-0179-07" "TCGA-02-0052-01A-01R-0179-07" "TCGA-02-0054-01A-01R-0179-07" "TCGA-02-0055-01A-01R-0179-07" "TCGA-02-0057-01A-01R-0179-07" "TCGA-02-0058-01A-01R-0179-07" "TCGA-02-0060-01A-01R-0179-07" "TCGA-02-0064-01A-01R-0195-07" "TCGA-02-0069-01A-01R-0195-07" "TCGA-02-0071-01A-01R-0195-07" "TCGA-02-0074-01A-01R-0195-07" "TCGA-02-0075-01A-01R-0195-07" "TCGA-02-0080-01A-01R-0195-07" "TCGA-02-0083-01A-01R-0195-07" "TCGA-02-0085-01A-01R-0195-07" "TCGA-02-0086-01A-01R-0195-07" "TCGA-02-0089-01A-01R-0195-07" "TCGA-02-0099-01A-01R-0195-07" "TCGA-02-0102-01A-01R-0195-07" "TCGA-02-0107-01A-01R-0195-07" "TCGA-02-0113-01A-01R-0195-07" "TCGA-02-0114-01A-01R-0195-07" "TCGA-02-0115-01A-01R-0195-07" "TCGA-02-0116-01A-01R-0195-07" "TCGA-06-0122-01A-01R-0213-07" "TCGA-06-0124-01A-01R-0213-07" "TCGA-06-0125-01A-01R-0213-07" "TCGA-06-0126-01A-01R-0213-07" "TCGA-06-0128-01A-01R-0213-07" "TCGA-06-0129-01A-01R-0213-07" "TCGA-06-0130-01A-01R-0213-07" "TCGA-06-0133-01A-02R-0213-07" "TCGA-06-0137-01B-02R-0213-07" "TCGA-06-0138-01A-02R-0229-07" "TCGA-06-0139-01A-01R-0213-07" "TCGA-06-0140-01A-01R-0213-07" "TCGA-06-0141-01A-01R-0213-07" "TCGA-06-0142-01A-01R-0213-07" "TCGA-06-0143-01A-01R-0213-07" "TCGA-06-0145-01A-06R-0213-07" "TCGA-06-0147-01A-02R-0229-07" "TCGA-06-0150-01A-01R-0229-07" "TCGA-06-0151-01A-01R-0229-07" "TCGA-06-0154-01A-03R-0229-07" "TCGA-06-0156-01A-03R-0229-07" "TCGA-06-0157-01A-01R-0229-07" "TCGA-06-0158-01A-01R-0229-07" "TCGA-06-0159-01A-01R-0229-07" "TCGA-06-0160-01A-01R-0229-07" "TCGA-06-0166-01A-01R-0229-07" "TCGA-06-0168-01A-02R-0229-07" "TCGA-06-0169-01A-01R-0213-07" "TCGA-06-0171-01A-02R-0229-07" "TCGA-06-0173-01A-01R-0229-07" "TCGA-06-0174-01A-01R-0229-07" "TCGA-06-0176-01A-03R-0229-07" "TCGA-06-0178-01A-01R-0229-07" "TCGA-06-0184-01A-01R-0229-07" "TCGA-06-0185-01A-01R-0229-07" "TCGA-06-0187-01A-01R-0229-07" "TCGA-06-0188-01A-01R-0229-07" "TCGA-06-0189-01A-05R-0229-07" "TCGA-06-0190-01A-01R-0229-07" "TCGA-06-0195-01B-01R-0229-07" "TCGA-06-0197-01A-02R-0229-07" "TCGA-06-0208-01B-01R-0229-07" "TCGA-06-0210-01B-01R-0229-07" "TCGA-06-0211-01B-01R-0229-07" "TCGA-06-0213-01A-01R-0229-07" "TCGA-06-0214-01A-02R-0229-07" "TCGA-06-0216-01A-01R-0229-07" "TCGA-06-0219-01A-01R-0229-07" "TCGA-06-0221-01A-01R-0229-07" "TCGA-06-0237-01A-02R-0229-07" "TCGA-06-0240-01A-02R-0229-07" "TCGA-06-0241-01A-02R-0229-07" "TCGA-02-0004-01A-01R-0300-07" "TCGA-02-0015-01A-01R-0300-07" "TCGA-02-0016-01A-01R-0300-07" "TCGA-02-0023-01B-01R-0300-07" "TCGA-02-0025-01A-01R-0300-07" "TCGA-02-0026-01B-01R-0300-07" "TCGA-02-0039-01A-01R-0300-07"
"COL8A2" 8 4 14 11 10 1 2 1 4 2 5 2 41 32 6 12 3 9 3 5 39 11 8 13 16 3 10 3 50 1 2 48 20 12 25 24 69 9 1 7 3 10 28 11 9 4 12 116 6 49 7 16 4 21 3 6 8 10 4 5 13 4 7 20 8 1 6 28 5 4 3 3 4 2 31 9 7 6 8 17 4 22 4 3 7 8 8 3 2 3 4 4 2 3 1 1 2 1 4 2
"GRB10" 14 1 2 4 5 1 1 0 2 2 3 1 6 3 4 6 25 2 1 5 3 4 0 2 5 3 5 1 9 0 1 2 1 2 1 2 2 1 0 1 3 3 7 3 4 1 0 1 1 6 1 1 1 2 2 3 1 1 1 2 3 1 1 3 1 2 1 1 2 1 2 1 4 0 2 3 1 1 5 6 2 1 2 1 1 0 5 3 1 0 1 1 0 1 1 0 0 0 0 0
"SCRT2" 4 10 17 5 6 3 7 4 10 3 3 4 31 8 2 25 1 12 19 4 9 5 6 4 14 3 5 3 4 13 15 10 50 8 5 10 11 38 8 12 8 13 32 5 8 34 7 15 44 76 6 28 9 8 10 5 69 42 2 11 3 5 2 1 39 2 3 7 60 7 2 2 2 30 2 2 2 1 3 4 4 11 1 5 3 13 4 1 8 15 4 5 3 1 3 5 3 1 2 2
"IL12A" 1 2 2 1 6 3 1 1 3 2 2 3 1 1 1 2 4 2 1 1 1 2 2 2 2 1 4 1 1 3 3 1 1 4 3 2 1 1 1 3 3 2 2 4 6 2 2 2 4 1 2 1 4 1 1 2 13 1 2 1 2 4 6 4 2 1 2 2 2 4 2 2 1 1 5 2 7 5 2 2 6 1 8 2 2 2 3 4 2 1 7 2 2 151 19 36 71 245 18 57
"SLC16A9" 9 8 3 7 7 8 4 9 9 8 4 3 1 1 6 16 2 12 3 19 1 12 15 2 2 9 8 9 1 29 6 5 2 6 7 15 2 4 16 9 20 6 4 8 4 13 12 1 11 3 9 2 8 2 17 3 2 2 18 1 4 4 13 12 4 9 4 4 1 5 10 7 5 17 7 13 11 15 2 3 5 2 8 2 4 2 7 9 4 10 20 9 4 0 0 0 0 1 0 0
"ABI3BP" 1 1 3 4 1 1 8 0 1 0 3 0 4 7 1 1 2 1 1 1 2 2 3 1 3 1 2 2 2 2 0 2 2 1 2 1 7 1 0 1 1 4 16 1 0 12 1 3 3 1 1 6 4 1 2 0 0 5 2 1 1 7 4 3 4 1 1 1 0 1 0 0 3 3 2 0 0 6 2 3 1 4 1 2 0 22 1 0 2 6 2 1 0 0 0 4 2 0 6 2
"LOC51057" 2 1 1 1 1 2 2 2 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 2 2 2 1 2 1 1 2 2 1 3 2 1 1 2 3 1 1 1 1 1 2 1 2 1 1 1 1 2 2 2 1 1 1 1 2 2 2 2 2 2 2 1 1 0 1 2 2 1 2 2 1 2 2 2 2 1 2 2 3 2 4 2 2 2 3 2 2 2 18 239 216 213 2 169 8
"LRRC39" 2 7 2 1 1 5 1 1 1 1 1 2 1 1 1 3 2 1 11 37 1 9 2 1 4 1 8 1 3 1 2 1 3 2 1 1 6 1 3 7 1 3 7 1 2 2 32 9 4 1 4 48 3 3 11 2 2 126 3 2 1 2 2 2 2 3 1 3 6 3 5 3 6 8 22 3 1 5 2 2 6 1 7 2 2 21 21 4 6 6 3 16 3 1 1 2 1 1 1 1
"C16orf92" 2 2 3 2 2 1 2 2 2 2 1 2 3 2 1 3 1 2 3 2 3 2 2 2 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 2 1 2 2 2 2 3 2 2 2 5 2 3 1 2 1 2 4 3 2 3 2 2 2 1 3 1 2 2 15 3 2 2 1 6 2 1 1 1 2 2 2 3 1 2 2 4 2 1 3 3 3 2 2 68 32 47 79 129 105 144
"TCEAL5" 29 50 28 67 16 13 42 4 13 11 29 12 6 8 9 17 4 58 20 8 8 47 77 76 6 2 8 19 26 5 10 33 37 20 23 37 10 39 26 61 26 8 7 21 12 26 38 7 7 10 9 5 16 12 35 12 3 2 7 2 5 4 38 20 5 38 13 7 2 14 8 19 4 7 5 9 4 26 3 18 13 4 15 3 8 2 14 63 2 7 9 31 7 1 2 1 2 2 2 2
"CDKN2C" 2 3 1 4 6 5 0 5 4 2 2 1 2 1 2 3 3 2 5 1 1 1 0 2 1 2 2 0 2 0 3 1 1 2 2 3 0 3 5 0 5 3 1 3 4 8 7 3 6 2 4 1 1 1 0 1 4 1 5 2 3 4 7 2 4 0 2 5 2 4 2 6 3 6 5 7 2 0 3 2 17 2 7 2 5 3 3 0 3 10 5 1 2 2 0 0 0 3 0 0
"PAP2D" 3 14 2 1 5 15 13 7 14 11 7 35 1 3 2 5 1 1 3 2 1 1 1 6 2 11 8 6 2 4 2 4 11 3 2 1 1 8 8 4 2 2 6 7 9 2 9 1 2 7 7 2 3 4 4 5 14 1 10 12 7 3 11 4 5 11 6 8 2 14 9 34 1 2 12 5 1 7 5 6 3 1 11 2 1 0 17 8 4 4 3 25 22 1 1 1 1 1 1 1
"KCNN2" 4 4 3 6 9 2 4 2 7 2 4 1 1 3 2 14 2 9 4 16 1 7 11 2 3 5 6 4 3 29 3 3 13 10 3 4 5 11 1 13 10 9 5 6 6 7 2 1 15 4 5 2 4 16 8 1 4 2 6 2 9 3 6 8 4 6 4 3 2 4 4 4 1 4 4 6 5 14 3 1 3 4 8 3 4 2 8 6 6 3 15 8 2 1 0 0 0 0 0 0
"FAM181B" 21 35 47 25 31 11 30 19 28 12 24 14 8 13 12 72 29 35 22 14 6 39 33 41 31 26 21 28 15 56 46 38 86 49 18 52 33 114 47 35 95 47 59 21 42 127 41 5 60 187 27 16 34 44 38 28 131 19 11 16 10 37 20 11 16 14 14 30 86 34 18 17 5 64 21 17 17 15 10 11 16 9 10 9 20 16 27 6 25 32 35 36 18 1 1 2 1 1 1 1
"CYP19A1" 1 0 2 0 0 0 1 0 0 0 1 1 1 1 1 1 0 1 1 1 2 0 1 1 1 0 1 0 0 0 1 1 2 1 0 0 1 0 0 3 0 3 3 0 0 1 4 2 1 0 2 44 1 2 0 1 1 21 0 3 2 1 0 0 1 0 1 2 1 1 1 1 3 1 2 0 1 0 1 1 0 1 1 4 0 22 5 0 3 1 0 1 2 1 1 1 1 1 1 1
"TMEM178A" 6 26 22 7 43 10 12 5 30 5 6 42 2 4 26 18 7 17 8 2 9 26 7 6 12 2 23 17 32 22 64 31 48 48 30 49 11 1 8 25 36 10 25 39 19 11 30 6 45 14 38 16 31 6 44 14 34 2 11 2 35 12 29 15 10 29 12 25 2 15 27 16 3 5 33 10 20 22 17 16 13 4 30 4 26 13 19 44 9 7 48 71 13 2 2 3 2 1 2 2
"LRRC16A" 1 1 2 1 2 0 0 0 3 0 2 1 2 0 2 1 3 0 0 3 1 2 2 0 2 0 2 0 2 0 2 1 1 2 2 2 1 1 0 4 1 2 1 2 2 0 0 1 1 1 0 0 2 1 1 0 3 0 1 1 2 0 2 2 1 2 0 2 1 0 2 1 1 0 2 2 3 1 2 2 1 4 4 1 2 2 2 3 1 0 2 2 0 1 2 2 1 1 1 1
"TRAK2" 2 2 2 2 3 2 3 2 1 2 3 3 1 2 2 2 1 1 2 6 2 2 3 1 4 1 2 4 2 2 3 4 2 2 1 2 2 1 1 2 1 7 3 2 2 7 2 2 3 1 1 4 2 3 5 4 2 3 2 1 4 2 2 3 2 3 2 5 2 2 3 2 2 3 3 2 4 2 2 3 1 3 4 2 2 5 4 11 3 2 2 4 2 0 0 0 0 0 0 0
"CHIC2" 1 2 2 4 1 1 3 40 1 37 1 2 1 2 3 2 1 2 3 1 4 1 1 1 1 11 1 35 1 2 3 2 2 2 3 1 2 1 2 2 1 1 1 2 1 2 2 3 2 2 3 4 3 3 1 11 5 9 4 4 2 14 2 2 6 1 5 4 2 3 7 84 2 5 2 2 2 2 2 3 5 3 4 14 6 5 17 1 2 13 5 3 108 1 0 0 0 1 1 0
"C3" 4 1 3 1 2 1 1 1 1 1 2 0 6 8 7 5 1 5 2 2 1 7 1 1 12 0 6 3 10 1 1 9 9 17 4 7 27 1 0 3 1 16 11 3 8 5 5 9 4 1 4 14 2 9 5 10 2 9 4 1 3 5 10 6 2 1 3 9 2 4 2 1 1 1 7 4 5 3 1 4 2 7 2 1 3 6 4 0 1 3 2 1 1 1 1 1 1 1 1 1
"ADRB2" 1 1 1 4 1 0 1 0 1 0 0 0 2 1 0 1 0 1 1 1 1 2 2 0 1 0 2 0 1 0 0 2 1 1 2 1 2 1 0 3 0 1 1 0 1 3 5 5 3 0 2 12 1 3 6 0 1 8 1 1 1 1 2 1 2 2 2 4 1 3 1 0 0 4 2 4 1 2 1 1 2 2 5 2 1 3 3 3 2 6 2 9 0 6 2 3 7 3 5 17
"RIMS2" 2 2 1 1 0 6 9 2 1 7 3 11 1 2 1 0 0 3 3 1 2 1 2 4 1 3 1 4 1 1 1 5 1 3 1 1 1 3 2 3 1 1 1 1 3 7 8 0 3 0 2 0 1 2 18 1 0 0 4 4 1 1 1 1 2 30 3 5 1 2 1 5 1 5 1 2 0 1 1 1 5 1 2 1 1 1 1 19 2 4 1 34 5 2 0 0 1 1 0 1
"SIGLEC10" 7 4 6 2 7 4 3 1 3 3 4 3 8 9 5 7 5 7 6 5 11 5 3 2 24 3 14 12 48 5 6 28 18 13 13 3 11 5 3 11 4 12 25 7 13 25 40 33 7 9 8 143 17 75 10 23 6 19 3 2 4 7 3 5 4 3 3 7 7 7 5 4 6 3 32 4 8 9 5 6 3 11 5 3 4 12 6 4 2 3 5 4 5 1 0 1 1 1 0 1
"YPEL5" 5 5 4 4 3 2 4 3 3 2 3 3 3 3 2 5 2 7 5 4 5 3 8 5 3 3 3 2 2 4 9 5 5 6 4 3 6 6 4 8 3 4 3 3 4 8 4 6 16 6 8 11 2 7 6 3 11 8 15 15 3 7 7 3 6 13 3 9 4 4 5 6 2 12 4 7 5 4 3 3 6 4 13 8 3 5 3 15 6 10 6 28 6 0 0 2 0 0 0 0
"KRT77" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 1 1 2 1 1 2 2 1 1 1 1 2 1 2 1 2 2 1 1 2 4 1 4 4 1 1 1 1 2 1 3 2 1 3 1 2 2 2 1 3 1 1 1 2 3 2 2 1 0 0 0 0 0 0 0
"IFITM5" 5 10 21 8 6 2 8 4 7 4 3 3 25 7 2 21 13 12 14 6 13 11 7 24 13 3 4 3 3 8 9 8 35 9 3 8 9 25 5 7 14 11 23 5 11 36 5 9 26 50 9 12 9 13 11 6 50 47 5 6 5 13 3 1 19 4 4 6 56 10 5 5 2 20 4 2 5 3 4 4 6 7 1 3 3 7 5 1 8 10 7 11 8 1 1 1 1 1 1 1
"CCDC8" 1 2 1 4 2 0 0 0 0 1 2 0 1 2 3 2 1 0 0 1 1 1 0 0 3 1 2 1 1 0 2 6 1 3 2 4 2 8 0 1 5 1 2 2 3 0 0 5 1 0 1 1 2 2 1 3 1 1 1 1 0 1 1 2 1 0 1 2 1 0 1 2 1 0 0 3 3 2 2 2 1 1 1 1 1 1 1 2 1 0 1 1 1 0 0 0 0 0 0 0
"ACOX2" 14 0 3 14 1 0 0 0 2 1 4 2 2 1 3 6 1 1 1 7 1 3 3 1 3 0 3 1 1 1 1 2 5 3 4 0 5 3 0 5 2 1 3 2 1 0 0 1 4 1 1 1 4 3 1 1 5 2 1 4 6 3 3 2 2 1 1 2 4 1 2 1 2 1 0 1 5 4 3 5 0 2 4 2 2 1 1 1 2 1 2 1 0 1 1 1 1 1 1 1
"SATB1" 1 7 2 1 3 10 19 10 2 8 6 16 2 3 1 1 3 6 2 1 2 1 3 15 2 21 2 5 1 10 0 4 1 2 3 1 2 1 6 1 3 2 1 0 5 6 9 1 2 3 4 4 3 6 6 4 1 1 2 1 1 4 3 2 2 16 7 2 1 5 2 5 1 2 1 1 1 7 2 1 4 1 2 1 2 0 3 11 1 2 4 7 8 1 1 1 0 1 0 0
"HIST1H4H" 1 1 2 1 1 1 1 1 1 0 0 0 1 1 1 3 1 0 4 2 2 0 0 0 0 1 0 0 0 0 4 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1 2 1 1 0 2 0 0 6 11 6 3 1 2 1 0 1 0 1 2 1 1 1 1 1 5 1 3 1 1 1 0 1 3 2 4 2 2 1 0 1 1 4 1 1 10 1 1 29 0 1 1
"HAND2" 2 13 7 5 1 3 1 5 2 9 5 3 2 5 3 1 6 19 9 1 2 2 1 2 3 3 2 44 1 2 17 14 1 3 2 11 1 4 29 1 6 12 1 3 8 64 11 1 2 1 9 1 1 1 1 10 1 1 2 1 1 31 5 2 1 1 3 1 1 3 5 25 4 4 3 1 2 3 1 2 5 1 2 4 7 1 3 1 2 2 10 1 3 1 1 1 1 1 1 1
"LPHN2" 6 3 3 0 14 6 2 2 31 4 2 1 1 2 1 5 5 1 5 3 1 3 1 2 11 1 9 1 6 2 1 8 3 4 8 18 3 1 6 3 12 2 4 11 8 0 1 4 2 3 9 3 1 2 1 2 5 2 7 49 4 5 10 2 1 5 2 10 3 1 3 4 5 1 12 6 6 3 4 2 1 6 13 8 2 2 5 2 2 1 1 4 1 1 0 1 1 1 0 1
"PKP1" 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 19 14 23 17 5 23 17
"PYGL" 2 0 2 0 1 0 0 0 1 0 1 0 3 1 3 1 1 1 0 1 1 1 0 0 3 0 2 0 3 0 4 1 3 2 1 1 1 3 1 4 1 5 4 2 1 0 0 1 1 1 1 3 2 1 0 1 0 2 1 1 3 1 1 1 1 0 1 1 1 1 1 1 3 0 5 1 3 1 1 3 1 3 1 1 1 3 2 0 1 0 1 0 0 2 2 5 3 3 2 4
"C14orf132" 10 24 11 4 1 5 14 14 0 6 17 4 8 4 9 7 3 34 9 12 7 14 13 14 4 6 4 10 11 23 2 16 1 5 4 2 4 8 4 9 2 5 1 2 4 13 9 2 13 5 7 2 21 5 31 7 4 5 10 1 1 5 25 12 7 55 3 17 2 8 7 20 5 11 11 3 14 20 9 11 7 5 8 6 1 9 6 25 4 3 28 22 7 1 1 1 1 1 1 1
"SPRY2" 11 10 5 3 22 2 1 0 13 3 40 27 5 1 10 8 12 4 1 1 4 6 5 15 1 1 8 2 4 1 14 9 9 12 1 13 9 7 3 6 9 3 6 5 14 1 2 1 5 14 6 2 3 4 2 9 16 3 3 32 12 2 11 5 2 2 3 5 4 8 8 7 3 1 8 10 24 2 3 24 7 6 11 12 14 2 8 2 6 1 5 4 4 1 1 1 1 1 1 2
"MVP" 2 0 1 0 0 0 0 0 0 0 1 0 2 3 1 0 0 1 0 1 1 1 0 0 3 0 1 0 1 0 0 2 2 1 1 1 1 0 0 1 1 1 2 0 0 0 0 2 0 1 0 2 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0 1 0 0 0 1 2 0 1 0 1 0 1 1 1 0 0 0 0 0 12 3 1 6 28 2 15
"CTSB" 4 2 5 1 1 1 2 1 1 2 4 2 7 7 3 2 2 6 3 4 10 3 1 1 38 1 7 5 9 1 3 5 8 6 4 2 15 2 1 5 1 13 11 3 3 2 3 8 2 8 3 54 5 23 3 11 7 17 2 8 3 3 2 2 4 1 5 5 17 3 9 2 9 2 8 3 3 3 6 7 1 8 3 5 2 6 5 1 3 2 2 1 3 0 0 0 0 0 0 0
"SAT1" 10 2 8 16 3 1 2 0 7 2 7 3 40 9 6 4 4 5 8 22 47 11 3 5 13 3 15 5 28 2 2 8 8 6 6 2 13 26 1 15 2 11 23 2 2 3 4 14 3 5 7 35 8 30 4 15 4 18 15 4 16 13 3 5 27 2 8 8 7 8 7 3 28 3 44 4 2 8 15 30 3 51 13 9 2 7 10 2 9 6 3 5 3 1 3 2 2 2 2 1
"EXTL1" 4 1 2 2 1 1 1 3 2 4 3 1 1 1 1 1 0 5 3 1 1 3 2 3 0 2 1 4 0 2 1 6 3 4 7 1 3 2 0 6 1 1 1 1 1 2 2 1 8 0 2 1 1 9 15 2 1 1 6 1 0 6 2 2 2 32 5 5 1 1 1 1 0 4 3 2 4 1 1 1 6 1 3 1 1 1 1 30 2 5 4 35 3 1 1 1 1 1 1 1
"EFCC1" 5 2 3 166 1 1 1 1 5 2 8 1 1 3 1 14 2 2 2 3 1 2 1 3 2 2 2 1 1 3 1 6 1 5 55 1 3 1 1 2 3 1 1 10 6 3 1 1 1 1 2 1 16 2 6 3 2 1 2 5 2 1 6 3 3 5 7 2 1 1 2 2 1 2 2 3 2 6 2 2 2 1 1 1 2 1 1 8 1 1 3 5 1 1 0 0 0 0 0 1
"CPEB3" 6 4 2 2 2 2 3 2 1 3 4 2 1 2 1 1 0 4 2 3 1 3 25 7 1 4 2 2 2 10 1 7 1 2 2 1 3 3 1 7 1 1 1 1 2 3 5 3 3 1 4 5 1 7 24 2 1 5 7 1 1 3 2 3 2 71 2 4 1 2 3 2 1 1 6 1 3 4 1 2 12 2 5 1 1 2 3 103 2 3 2 53 2 1 1 1 0 1 1 1
"CYTIP" 1 1 6 0 0 0 0 0 1 0 1 0 5 2 2 1 1 3 1 2 5 3 1 1 2 0 3 1 2 0 1 4 2 1 1 1 10 1 0 1 0 2 2 1 1 1 2 3 1 2 3 14 4 3 1 3 1 27 3 4 5 4 1 2 2 0 1 2 3 1 2 1 3 0 3 1 2 2 4 3 1 6 1 16 1 2 2 0 1 1 1 2 1 0 0 0 0 0 1 0
"GPR4" 16 8 5 4 11 6 11 5 12 6 9 12 6 14 9 24 13 12 8 9 3 12 3 7 43 16 22 10 14 19 6 11 14 14 15 20 15 7 8 14 23 18 33 32 29 19 7 15 7 29 12 45 35 21 12 25 19 7 6 5 11 8 21 15 3 4 10 5 8 5 21 15 7 3 39 5 17 18 39 9 2 6 10 2 8 6 8 5 3 2 9 4 11 0 1 1 1 0 1 0
"MEF2C" 11 10 6 3 6 5 11 2 5 9 9 0 10 3 3 13 3 11 6 8 6 11 10 17 6 5 5 8 5 5 4 14 9 11 9 4 8 5 3 9 2 10 10 2 12 13 14 12 19 2 14 17 9 11 41 10 12 30 13 5 4 7 6 17 11 98 9 31 5 13 10 8 5 5 10 12 10 7 12 7 33 6 18 3 6 20 16 60 7 15 6 93 9 2 1 0 0 2 2 0
"DNASE2" 1 1 1 2 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 2 1 1 1 1 1 0 1 1 1 0 1 1 2 1 1 0 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 3 0 1 0 1 2 4 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 5 12 20 79 13 57 23
"C19orf68" 1 2 3 3 4 3 2 2 3 3 3 0 2 1 2 3 4 1 0 3 1 5 2 2 2 2 2 2 2 4 0 2 1 1 1 5 1 1 0 0 4 5 1 3 5 1 2 1 0 2 1 0 2 1 5 2 0 0 0 0 1 1 3 4 0 4 1 2 1 1 2 2 1 0 1 2 3 3 1 1 1 1 0 0 2 0 2 5 0 0 0 1 1 2 1 3 4 1 3 11
"CLUL1" 4 1 4 1 0 1 1 1 1 2 1 1 2 1 1 2 0 1 2 3 2 8 2 1 2 1 4 3 4 1 2 6 1 4 34 2 4 1 1 2 1 1 1 0 1 1 0 1 3 1 2 1 5 14 7 1 10 13 9 0 2 20 6 2 4 1 4 2 1 4 2 1 3 1 11 3 1 2 1 6 2 5 3 1 1 2 1 24 3 2 2 29 1 1 1 1 1 1 1 1
"NACAD" 26 10 13 38 29 8 19 10 9 24 12 12 3 22 14 21 13 27 9 6 4 37 5 10 26 29 17 59 21 13 20 71 53 37 27 26 23 40 24 54 35 24 25 30 23 18 17 9 16 29 12 12 32 63 143 53 5 3 3 4 7 20 10 22 2 22 28 12 7 9 17 18 4 3 16 11 10 29 8 7 5 4 10 3 12 6 18 123 6 3 13 41 31 2 1 2 2 1 2 2
"TMEM163" 6 4 7 4 2 4 24 8 3 9 4 10 5 15 5 21 4 36 37 2 5 5 8 6 8 12 5 51 6 11 6 38 16 51 21 9 11 64 5 7 4 1 9 5 1 47 9 4 14 10 16 24 5 9 6 15 1 24 9 6 8 28 3 14 5 12 16 7 3 4 5 21 5 34 14 20 4 16 7 8 3 4 13 2 1 29 2 10 6 10 12 16 14 1 1 1 1 1 1 1
"C1orf94" 12 1 3 9 15 3 6 3 4 8 4 9 2 3 2 3 12 6 3 1 1 2 6 3 2 3 5 1 0 20 3 2 38 4 4 1 4 1 9 1 4 2 2 4 5 3 17 4 25 3 3 1 6 8 1 7 3 1 1 1 1 7 1 2 2 1 4 1 4 3 1 3 2 3 6 1 9 11 7 3 1 0 2 2 2 0 1 1 2 2 7 1 6 1 1 1 1 1 1 1
"NPM2" 1 1 0 0 0 1 2 3 1 3 1 1 0 1 0 0 0 1 2 0 1 0 3 1 0 0 0 1 0 1 1 3 0 2 1 0 0 0 1 2 1 1 0 0 1 1 1 0 1 0 1 0 0 0 6 0 0 1 9 1 1 2 1 1 1 29 1 3 2 1 1 1 0 1 0 1 0 2 1 0 4 0 1 1 1 0 1 20 2 5 1 32 2 1 1 1 1 1 1 1
"RAB42" 0 1 8 2 0 0 1 0 1 1 0 1 1 1 2 1 1 1 1 1 1 3 0 0 2 0 4 1 1 0 2 2 4 1 1 1 2 0 1 1 0 2 2 1 1 0 2 3 2 4 3 14 4 5 0 3 2 13 1 1 2 2 1 1 2 0 1 2 3 1 6 1 2 1 1 1 2 2 2 1 1 1 1 3 0 8 5 0 3 0 1 1 1 1 1 1 1 0 0 1
"ZNF295-AS1" 1 3 4 2 8 1 2 1 1 1 2 1 2 1 3 16 1 1 1 2 1 1 5 1 2 1 2 1 1 1 1 5 1 12 43 1 5 1 1 1 1 1 1 1 1 4 8 12 6 9 1 2 26 2 1 2 2 3 2 6 4 2 4 3 1 1 1 5 4 6 4 1 1 2 5 2 4 4 2 2 2 6 1 25 3 6 1 2 1 1 1 2 2 0 1 0 0 0 1 0
"ADAM12" 3 1 1 1 1 0 0 0 1 1 1 1 5 3 3 2 1 1 1 2 4 1 0 1 6 0 3 1 3 0 2 2 2 1 2 2 3 1 0 1 1 1 3 3 1 0 0 11 0 1 1 6 1 1 0 1 0 1 0 2 3 0 1 1 2 0 1 1 1 1 1 1 8 0 1 0 1 1 2 3 0 2 1 1 1 2 1 0 0 0 0 0 0 1 2 2 4 1 2 2
"NACC1" 2 1 2 1 1 1 2 1 2 2 1 1 2 2 1 2 2 2 1 1 1 2 1 1 2 2 2 2 1 2 1 2 2 1 1 2 1 2 1 2 2 2 2 1 1 1 1 1 1 2 1 1 1 2 2 1 2 1 1 1 1 1 1 1 1 2 2 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 0 0 0 0 0 0 0
