	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
C21orf7|56911	140	51	71	20	391	56	36	79	127	537	13	58	38	51	36	174	72	49	76	172	414	328	42
C21orf81|391267	43	7	2	0	16	6	7	1	8	15	14	3	2	37	3	17	2	2	1	0	1	4	9
C21orf82|114036	4	2	1	1	2	2	1	1	3	2	5	6	1	4	1	7	12	0	3	0	2	14	7
C21orf84|114038	0	27	5	3	0	6	18	12	1	0	56	1	0	0	1	4	2	3	3	0	11	4	6
C21orf88|114041	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	9	0	0	0	4	0	241	7
C21orf90|114043	20	5	19	18	73	2	2	26	7	46	103	0	2	31	0	0	0	13	18	0	0	0	0
C21orf91|54149	1062	356	3498	367	711	77	202	344	740	649	3188	733	1929	2332	2830	3285	932	593	518	452	3407	2045	550
C21orf94|246705	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf96|80215	0	0	0	0	3	0	0	1	0	2	5	12	1	0	0	18	2	0	3	1	6	1	8
C21orf99|149992	0	0	0	0	0	13	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	1	0
C22orf13|83606	3064.06	2884.82	4131.48	1750.44	3207.85	4576.43	2620.22	4668.51	3882.2	3160.97	5053.1	3037.42	2248.28	3573.96	4104.19	3865.61	4638.69	2452.62	2852.05	3006.3	2985.14	6544	3043.77
C22orf15|150248	9	3	1	0	0	14	2	5	0	5	11	3	8	8	0	10	0	8	0	1	1	0	1
C22orf23|84645	170	63	115	71	143	39	70	166	42	174	410	119	59	223	71	105	46	59	150	33	133	118	52
C22orf24|25775	1	3	0	0	7	2	2	2	0	4	0	2	10	11	10	10	4	8	2	6	13	9	6
C22orf25|128989	960	741	1963	306	826	6767	570	1548	695	790	534	706	274	801	1182	676	1777	802	801	721	485	1386	732
C22orf26|55267	96	13	9	29	9	27	20	41	11	6	28	10	17	44	14	10	21	18.1	4	18	12	19	15
C22orf27|150291	56	62	58	45	82	80	56	307	328	53	204	120	77	101	63	119	105	95	79	35	260	205	96
C22orf28|51493	2291	3611	3321	2695	2769	2979	3119	4638	3649	2946	5215	2253	3547	4146	2245	4290	5969	3184	3385	3191	4457	7064	4874
C22orf29|79680	932.65	1029	4243.18	558.94	1355.66	1458.77	511.14	2022.7	1899.24	1035.69	2918.87	1555.87	749	1530.96	1352.45	1758.74	5376.16	915	1294.58	466.72	2061.94	1240.45	1347.5
C22orf30|253143	3903	2977	2621	2427	2188	4448	2057	6115	6024	1569	9240	3436	3086	5874	1965	4601	3775	2139	3409	1444	3010	4776	3799
C22orf31|25770	0	0	0	0	0	0	0	0	0	0	1	0	62	0	0	0	0	0	0	0	0	1	0
C22orf32|91689	497	198	426	789	297	856	222	495	714	182	930	378	236	421	373	300	233	262	252	278	238	400	442
C22orf33|339669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf34|348645	0	0	0	0	112	4	0	79	4	18	210	0	9	0	0	0	0	0	31	0	1	3	1
C22orf36|388886	327	189	175	7	62	100	305	58	17	86	422	224	24	388	101	93	30	106	31	50	133	94	45
C22orf39|128977	991.85	825.87	1715.21	589	1143.28	1366	719	905.66	1977.85	1184.82	2080.93	994.73	878.81	996.12	802.98	787.9	839	533.28	626	592.45	289.47	986.09	747
C22orf40|150383	795	313	200	417	417	163	383	529	274	431	543	947	259	658	122	274	139	119	321	162	97	464	355
C22orf41|644186	49	2	4	1	17	25	3	229	1	29	40	10	4	6	9	0	0	2	4	5	0	0	1
C22orf42|150297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf43|51233	1	2	0	1	4	2	3	1	2	4	2	1	0	3	0	1	0	1	7	0	0	1	2
C22orf45|646023	3	5.05	0	1	6	1	2	7.01	0	7	8	0	0	7	9	2	3	0	3	1	1	3	2
C22orf46|79640	1673	1601	438	669	2681	1491	1113	3234	1207	3007	2130	1709	807	2546	1296	1662	450	175	1965	782	671	2510	1137
C22orf9|23313	2158	5652	3089	3409	1388	1761	5041	2266	1535	1657	5993	3099	2925	3437	6405	4042	2167	5178	2509	4403	6839	9190	1809
C2CD2L|9854	1078.48	334.75	359	318.5	1356.78	992.57	249.85	1322.99	1097.41	885.3	1815.04	623.52	1561.71	1203.67	409.58	682.17	326.72	331.29	584.6	149.9	745.46	549.76	1073.44
