	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
PHLDA2|7262	235	1128	728	1602	1083	3224	641	1192	2873	1619	10812	1845	81	256	3650	2056	1958	1697	793	1143	1984	8258	1892
PHLDA3|23612	1591	1520	1340	649	1	2087	1512	343	654	1	2201	780	9	824	3208	1169	1724	1868	392	505	1382	1359	2607
PHLDB1|23187	1626	2044	3347	881	2007	473	2476	77	715	3520	12737	1349	905	4509	6148	3436	3700	1006	2659	1484	4408	3895	3175
PHLDB2|90102	1521	3909.98	3847.9	1068	3521	32	3188.99	1965	194	1497	3649.99	1127	204	0	8073.96	13206	6088	4615	4067	4745	9246	7628	3181.92
PHLDB3|653583	627	354	189	93	758	550	307	1170	312	1171	1421	356	456	539	215	238	419	409	497	92	323	663	230
PHLPP1|23239	1036	1152	968	465	751	429	1093	520	2375	745	5102	2228	2362	4468	533	1736	745	388	1054	188	810	1681	1130
PHLPP2|23035	3711.62	1982.18	380.95	978.65	2270.93	980.68	1142.57	461.09	1178.94	1428.88	1082.15	852.89	2090.92	2968.02	613.06	1887.77	750.95	587.25	859.48	610.81	990.01	3206.64	663.19
PHOSPHO1|162466	237	26	11	0	8	28	18	0	2	30	26	0	9	88	25	1	0	4	6	8	1	20	17
PHOSPHO2|493911	117.94	108.73	53	38	90	69	72	123.11	105	93.34	185.56	73	65.35	143	83	149	98	63	49	25	34	198.62	89
PHOX2A|401	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0	0	0	0	0	0	0	2	1
PHOX2B|8929	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHPT1|29085	2407	2160	823	2118	2119	1487	1574	3743	1847	2091	2851	1017	941	1224	2234	1990	1378	1578	1205	2430	1939	2016	1509
PHRF1|57661	6522	6786	1957	2538	3281	3054	6329	3260	5578	2765	5402	3327	3153	6423	2940	4216	4525	1858	2960	1469	4193	7753	2961
PHTF1|10745	2231	1122	430	225	3104	1646	906	647	698	1491	1210	517	778	2716	804	1750	1508	895	2769	506	2033	4250	776
PHTF2|57157	9678	2907	4019	2847	15383	2929	2576	4585	3909	11678	4382	3908	4213	7895	5557	4913	5657	3660	7229	2763	2655	6444	4125
PHYHD1|254295	1	0	0	1	1	0	0	1	0	1	70	1	0	21	2	3	1	1	1	0	3	1	0
PHYHIPL|84457	0	102	0	105	268.74	21.05	286	0	0	89.48	27.12	3	248.26	0	0	0.02	29.42	5	49.91	1	10	0	0
PHYHIP|9796	3	44	19	42	67	180	9	20	11	15	82	16	0	8	119	47	43	16	49	61	31	204	89
PHYH|5264	2759	728	139	63	362	3629	847	537	210	483	255	274	381	1439	656	153	146	110	290	291	393	1473	376
PI15|51050	48	2	115	16	191	13	1	176	52	182	4392	4	86	38131	0	49	3	129	74	36	92	142	11
PI16|221476	0	1	4	1	8	0	0	0	1	1	33	3	0	4	25	1	7	0	16	2	20	8	1
PI3|5266	0	0	2950	47	0	1	27	3	2	0	0	0	1	1	606	4	2	3055	77	13	36	0	1
PI4K2A|55361	3484.89	2171.2	1981	2445.02	1326.99	1841.93	1189.27	1477	1814	1274.1	2791.62	1265	1325.16	1599.39	3661.74	2019.56	4726.75	2003.48	1415.54	1659.26	4254	3547.64	2960.34
PI4K2B|55300	3341	1523	1276	947	3769	2849	985	2488	3120	2395	8045	2954	1475	2047	3344	1869	2033	1792	2284	1083	1546	3215	3288
PI4KAP1|728233	714	305	339	134	789	382	371	1632	709	526	1589	668	533	1094	200	1455	365	413	363	146	220	308	567
PI4KAP2|375133	885	421	117	98	1063	829	673	858	620	802	2186	593	507	1414	182	419	130	196	483	139	182	372	648
PI4KA|5297	3128	2929	5868	1128	3459	8798	1787	4697	4910	2816	5540	3478	2733	4656	3519	2786	4171	1322	2218	2198	2602	4538	3619
PI4KB|5298	5009	2398	2916	2257	2838	10862	1943	5285	4176	3137	11255	3180	3813	5261	5747	5199	4459	2790	2358	3326	3970	7372	5411
PIAS1|8554	1336	2333	1637	994	1346	2651	2233	1250	2152	1927	4658	1133	2107	1678	2451	1529	2134	1218	1298	1146	1522	4881	1025
PIAS2|9063	1741	756	605	275	1154	1074	604	239	1121	1391	337	521	1423	2206	367	1636	883	719	669	318	492	2634	308
PIAS3|10401	5027	1716	1267	567	3787	427	1672	4820	2716	2756	13096	3488	864	4036	1999	2531	1963	1928	1786	1339	2164	4829	2226
PIAS4|51588	1524	786	524	462	887	730	646	872	858	924	890	560	1644	1362	915	820	1306	472	553	317	529	1267	606
PIBF1|10464	488	495	458.2	331	525	362	347	699	786	753	1483	633	474	314	364	186	483.1	425	301	253	555.13	959	324
PICALM|8301	12645	7685	14299	3258	8893	3569	7682	12463	10475	6323	17870	9558	6499	8014	8156	14194	8949	4339	5272	3225	6501	16481	9804
PICK1|9463	744	483	517	1124	792	2058	574	1743	1706	688	2732	899	723	1054	734	858	614	582	1332	317	415	1302	687
PID1|55022	0	62	49	44	94	37	185	6	1011	0	1893	295	118	2	513	114	5	63	32	590	267	2727	385
PIF1|80119	251	617	157	90	589	452	548	456	404	782	702	316	390	392	376	634	136	144	724	91	79	252	521
PIGA|5277	877	1130	471	467	1481	755	690	1402	1017	1039	2816	912	1087	1094	753	1493	768	453	727	527	1455	1359	859
PIGB|9488	948.72	751.31	472.53	402.35	948.47	1065.05	663.21	869.25	633.84	1031.73	1233.55	290.63	583.39	844.09	470.66	680.84	550.4	972.9	484.87	566.34	1015.31	1334.56	644.59
PIGC|5279	1471	1180	1145	583	1568	2681	1059	956	1760	1203	3621	1129	1176	1500	1633	1968	1499	1761	988	812	1998	2088	1728
PIGF|5281	629.41	234.46	580.48	76.22	402.71	466.13	287.59	620.67	355.09	374.14	846.96	420.17	409.76	423.25	248.11	397.4	339.43	459.77	228.54	94.93	227.44	583.4	286.31
PIGG|54872	1854.21	992.38	851.99	551.39	3198.68	2239.41	681.42	1144.01	1485.53	1776.2	3337.92	1228.76	2760.33	1491.27	1167.45	2587.64	1903.84	4363.94	1571.32	1637.13	1752.33	2862.67	1898.17
PIGH|5283	522.61	259.49	284.39	181.89	672.24	445.7	290.94	624.71	363.62	376.29	312.75	105	592.37	578.15	245.51	311.4	251.71	351.87	349.38	181	391.9	487.73	226.83
PIGK|10026	1785	2186	2002	2543	5944	3923	1380	5084	1899	3207	4625	2441	2422	2835	2586	4974	5291	4274	2560	2194	3413	9339	2211
PIGL|9487	495	421	120	114	1068	190	303	746	272	626	1004	329	153	386	160	992	833	508	710	310	301	301	425
PIGM|93183	2588	1371	655	380	1513	1423	827	873	2169	1113	3356	1294	6928	1981	902	2208	1035	1622	770	452	1148	3058	1537
PIGN|23556	1774	953	665	273	2223	1774	865	518	1630	1333	1586	869	1235	1859	469	1547	1081	1822	981	205	2109	2595	332
PIGO|84720	1945	2901	1706	1201	3181	4063	2700	4764	1818	2091	3717	2238	4005	2481	2739	1903	1572	3630	1635	1039	1720	2614	1737
PIGP|51227	1358	173	210	147	550	362	213	574	388	410	514	499	765	703	627	152	272	450	246	86	504	805	237
PIGQ|9091	2723.36	1380.26	1154.94	924	1093.15	2265.34	1040	1382.01	996	608.86	1834	1700	2144.29	1852.76	2555.73	1077.77	2040.16	1246.99	1512.06	297.91	1469.88	1362	1245.1
PIGR|5284	0	3	53294	0	0	8	2	3	0	0	26	19	1	1	155	57	2	1	1	0	20	1	2
PIGS|94005	3578	3760	5598	3748	3426	4207	2543	5885	3809	2826	8985	6865	7067	3466	6449	3188	4681	6717	2493	2318	4688	8001	1415
PIGT|51604	10196	5935	10170	8080	15220	23682	5180	18510	17135	7751	20759	6497	5339	6652	25979	6344	7556	13836	8965	5223	15325	17995	10198
PIGU|128869	3261	1692	1737	845	4438	2982	1838	4679	2906	2388	4734	1673	2237	2025	3306	1663	4110	4088	2331	573	3948	3638	1524
PIGV|55650	1471	295	520	203	410	370	329	430	333	280	789	487	406	523	773	416	402	766	634	388	923	1667	313
PIGW|284098	847	1359	354	1253	1441	1016	547	1138	1487	698	1413	674	1598	2554	576	1453	1475	1385	937	334	1378	1072	521
PIGX|54965	2263	1239	1168	543	1687	1860	951	1613	1401	911	1503	2014	2838	2970	2150	1025	2161	1245	1914	1005	2011	4657	926
PIGY|84992	2421	1454	1225	1790	1687	1295	927	1574	3221	1335	4622	1517	1514	2170	2786	2325	1993	1390	1414	1429	1415	4405	1244
PIGZ|80235	455	69	260	22	178	101	87	408	39	36	102	35	57	250	366	54	71	53	65	15	536	115	25
PIH1D1|55011	3200	2240	1463	1133	1792	1980	2445	3945	4048	2245	6534	1541	2152	2056	2373	2116	3043	1545	2329	1114	1046	5449	1770
PIH1D2|120379	23	50	14	34	74	28	36	34	29	83	112	62	46	109	99	127	19	59	45	10	65	72	49
PIK3AP1|118788	363	188	21	51	295	270	236	50	23	478	281	3	11	131	1	426	38	57	87	0	11	174	73
PIK3C2A|5286	7635	6315	3785	3335	3423	6733	5343	7179	8983	3488	5717	3603	6265	11380	5490	6516	4929	2400	4291	1734	4792	9410	3214
PIK3C2B|5287	1204	1461	1267	265	409	662	1690	2499	3942	524	4777	1946	1425	2472	3245	1103	1832	822	2109	240	540	1264	1875
PIK3C2G|5288	0	0	32	5	0	348	0	11	40	0	102	4	0	0	0	0	302	25	30	8	284	47	4
PIK3C3|5289	1586	820	897	622	1427	703	733	322	1058	1751	1839	727	1194	1191	1105	1596	959	545	677	411	834	2971	518
PIK3CA|5290	6777	825	1477	802	1476	459	592	1115	1068	1178	2850	1994	1626	1707	1678	1812	2454	1710	1415	1413	1862	3274	894
PIK3CB|5291	6725	2319	2411	2345	3655	2193	1852	2895	2000	3508	6132	3307	3965	3082	5315	4262	2719	1437	2596	2534	1870	6860	2230
PIK3CD|5293	1984	1031	251	106	1185	30	633	232	32	1586	1444.02	1490	13	724	139	470	166	838	546	4062	2148	3874	1234
PIK3CG|5294	0	0	207	0	582	0	0	0	2	409	15	28	0	0	1	2	0	0	107	1	20	9	15
PIK3IP1|113791	80	36	2370	15	169	233	50	229	190	263	1029	351	16	258	1266	160	194	32	105	109	486	230	111
PIK3R1|5295	4160	2128	2573	825	2798	7424	1683	1473	6861	2583	6715	1968	1943	2215	3143	2283	1269	2881	1592	2503	2042	4065	1921
PIK3R2|5296	6646.43	2696.02	3551.16	2406.51	4401.43	3758.37	1933.63	4568.94	4859.71	4401.68	5838.88	4489.3	5116.19	5606.13	9897.05	7945.58	5497.54	2567.05	3636.64	1811.36	3326.07	8994.48	2156
PIK3R3|8503	979	257	1624	888	2196	3122	104	6278	1169	1700	4018	943	1953	5907	8144	2099	1378	273	1693	212	89	1011	1530
PIK3R4|30849	4344	1484	2414	1540	4868	1142	990	1638	1903	2976	3972	1789	2829	1741	3443	3252	2672	3044	2478	1311	5174	4912	1858
PIK3R5|23533	18	0	2	26	3	58	1	10	9	8	19	0	3	5	0	93	0	2	0	3	0	0	0
PIK3R6|146850	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
PIKFYVE|200576	8469	2655	1918	1012	5124	1847	1748	2330	2584	4023	6321	1805	2419	4186	1400	3119	1363	1257	1852	1191	1755	9402	3028
PILRA|29992	5	53	8	1	26	9	47	22	1	22	29	4	52	76	1	1	1	28	9	9	1	2	2
PILRB|29990	2629.09	2186.54	941.82	179.42	6061.69	2121.64	1692.44	2986.85	1295.27	4724.67	4154.11	2700.5	2122.11	2927.19	224.1	2431.16	411.47	2184.93	3398.57	173	360.37	158.19	3245.48
PIM1|5292	1426	1165	2353	857	1545	1289	1763	656	1090	1082	7878	2098	391	6299	557	2301	2290	1202	1102	2549	2857	1909	1408
PIM2|11040	245	601	161	424	877	207	167	195	477	664	1216	283	251	1782	628	643	341	89	209	282	213	642	549
PIM3|415116	2970	1118	4522	10083	1842	8474	1324	8691	4030	1370	11940	5660	1502	2386	2412	2328	2600	1842	2774	2536	1660	3364	10168
PIN1L|5301	98	70	3	7	111	94	76	62	89	168	89	49	14	106	15	123	3	4	71	3	7	15	55
PIN1|5300	2000	1410	838	959	2143	1649	1271	1205	1316	2622	1571	823	3142	2294	2268	2227	1202	1157	1258	1015	1198	2379	1021
PIN4|5303	743	1425	287	196	1151	495	1237	1341	764	2419	1320	719	923	1578	845	1498	324	378	451	493	458	1251	300
PINK1|65018	8142	1455	1324	613	1910	2656	1202	4123	363	1827	5848	3874	3299	2199	3933	3343	2033	1786	1818	7197	6179	4694	1096
PINX1|54984	390.73	952.55	239	295.38	393.6	298.55	402.54	271.12	867	492.62	307.98	154.24	806	670	210	1031	817.85	407	405.39	337	375.09	557	369
PION|54103	554	150	441	18	200	226	245	268	463	148	561	618	203	90	379	169	66	183	203	49	32	325	215
PIP4K2A|5305	2597	3264	1000	723	1683	8558	1985	1949	2480	1662	3446	3835	1508	861	2087	6418	1869	1203	1588	3155	2414	8273	5753
PIP4K2B|8396	11078	6031	1251	2436	2633	1418	3579	3915	4496	3109	8230	2886	8881	16138	2133	5102	4366	1994	3035	1676	3196	8767	2279
PIP4K2C|79837	9643	1993	3314	2135	2361	6794	1544	7429	1953	1629	4634	3416	1761	3015	2375	97284	4743	3879	2543	1253	5048	6099	4927
PIP5K1A|8394	12040	5267	5513	5213	8191	17316	3383	8743	6832	7586	22043	4844	8189	20805	7515	8721	8970	5880	4199	5129	9539	11942	7950
PIP5K1B|8395	0	0	154	3	0	624	0	1081	298	0	0	0	47	146	2	1	1	5	3	0	1	8	159
PIP5K1C|23396	3579	1625	1225	805	1510	2809	1315	2457	1186	2001	2592	1399	2011	2622	3401	1706	2282	762	1327	1220	1501	4495	1529
PIP5K1P1|206426	60	39	12	11	46	97	33	47	58	83	155	46	27	174	24	61	17	15	26	11	14	22	45
PIP5KL1|138429	61	19	33	0	44	12	18	66	14	64	392	404	2	35	62	57	10	19	21	38	50	55	39
PIPOX|51268	9	0	45	6	5	2	1	10	9	1	418	54	3368	14	17	10	0	15	0	24	21	1	2
PIPSL|266971	2358	1266	601	738	1569	3807	1023	2446	1632	2023	2507	895	1244	2647	1221	1334	1440	845	1219	615	1081	2392	1495
PIP|5304	0	0	120	0	0	667	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIRT|644139	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIR|8544	2016	1665	902	591	472	176	2500	1338	868	463	791	192	1882	1307	1972	167	616	626	1655	251	1571	1562	239
PISD|23761	767	882	3008	1243	1191	863	681	13937	1203	677	2224	1352	955	1229	1701	2224	1764	1370	1610	866	2015	2252	2031
PISRT1|140464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PITPNA|5306	4334	6533	7893	3671	4562	4552	3295	4413	4061	3960	3127	2481	2391	3502	4971	6685	5115	4042	4796	3348	4672	7812	6557
PITPNB|23760	3697	4109	4073	4849	6543	3516	3161	5160	6677	5231	8544	5897	3468	5943	3176	6865	7648	3862	4486	3137	7024	9458	4666
PITPNC1|26207	1066	208	229	57	1204	1041	176	404	350	789	2271	541	509	1958	986	412	653	119	349	104	205	1082	177
PITPNM1|9600	6494	3419	4540	3870	2753	7902	3052	9654	3029	2319	8279	2913	331	1972	3982	2777	2399	3355	2141	2082	1840	9569	2661
PITPNM2|57605	2084	1627	226	470	1611	1060	1087	2390	748	1065	3330	1996	466	915	1132	1523	747	1062	1686	610	914	4908	1014
PITPNM3|83394	665	348	782	89	58	2	113	1417	2970	28	3091	2098	19	57	4245	3014	536	1197	1379	833	871	604	2158
PITRM1|10531	8266.74	7176.55	2582.79	2745.48	3954.89	8823.12	3809.99	6823.15	21013.3	2638.45	10990.57	3085.42	2312.08	5644.04	5892.23	4612.13	7562.51	4345.8	7378.87	5415.24	6318.95	22845.28	8003.28
PITX1|5307	1105	1263	1394	1119	82	1214	1041	2014	2222	346	2210	47	5637	547	13251	1705	424	2958	1096	1150	2228	2129	239
PITX2|5308	287	125	638	412	286	690	55	28	1007	409	1632	0	240	13	370	323	61	444	87	69	604	519	210
PITX3|5309	10	1	1	0	1	1	1	2	0	2	4	0	8	13	0	9	1	5	3	3	2	18	1
PIWIL1|9271	1	0	1	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	1	19	13	22
PIWIL2|55124	1	9	3	3	3	58	1	355	3	0	66	4	0	1	4	5	5	2	2	11	2	21	10
PIWIL3|440822	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
PIWIL4|143689	10	4	5	0	27.29	0	3	25.14	1	17.26	23	0	77.33	2.06	22	13.13	5	1	5.11	10	6.07	13.01	6
PJA1|64219	2832	1635	831	574	849	691	1533	2224	1139	2102	95	1749	555	1205	3269	3550	2592	2170	1710	835	2545	3572	841
PJA2|9867	23498	4568	4918	3800	6285	7205	3013	5427	2941	4832	15628	4489	4141	5114	4357	4340	4158	3828	2730	3458	5895	15798	2844
PKD1L1|168507	7	3	1	2	2	2	12	5	21	1	33	3	5	44	1	5	3	7	5	4	3	7	11
PKD1L2|114780	17	149	6	0	57	200	146	695	4	129	662	111	5	77	2	330	47	2	60	17	0	875	41
PKD1L3|342372	0	0	0	0	2	0	1	1	1	0	2	0	32	0	1	2	0	0	0	0	0	2	0
PKD1|5310	11457	2893	1728	622	4091	2803	3456	3112	3102	2272	6323	3216	2536	7285	2307	2337	947	1234	3365	750	1601	2176	2874
PKD2L1|9033	7	0	0	1	1	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
PKD2L2|27039	0	1	0	0	0	3.03	0	2	1	2	2.05	1	2.04	0	1	2.07	0	1	2.06	0	1.02	0	0
PKD2|5311	3030	3097	549	178	2180	443	1895	1165	1139	1314	1780	1200	1566	2934	1396	1777	557	645	1090	888	1243	6707	1564
PKDCC|91461	414	4853	62	27	85	34	5926	1448	55	118	204	78	158	184	1313	95	12	0	92	13	41	237	52
PKDREJ|10343	40	22	1	29	95	11	15	17	25	26	66	57	13	76	33	17	43	11	16	25	28	34	29
PKHD1L1|93035	0	0	4	0	2	56	0	4	2	0	0	0	5	0	0	0	0	1	0	0	1	10	1
PKHD1|5314	2	1	5	0	13	370	18	1151	4	12	55	24	189	0	0	408	0	2	2	0	58	153	9
PKIA|5569	1240	2	250	118	983	111	4	546	421	876	464	0	18	0	108	477	34	242	263	64	127	2726	787
PKIB|5570	6	50	85	12	834	3409	187	1360	504	1129	1314	662	16	22	2	1104	1471	12	429	4	2	351	476
PKIG|11142	2953	1377	451	397	1081	397	1032	182	734	1289	635	3	386	973	643	559	346	904	688	295	476	1478	521
PKLR|5313	3.46	0	0	0	2.29	3.41	0	2.27	1.17	0	5.53	0	1.1	4.4	1.12	0	1.02	1.08	0	0	0	0	0
PKM2|5315	38843	228100	112037	111795	126704	182910	202624	92019	109013	127017	286839	97456	132472	30801	219795	195447	168097	172733	121423	190407	169966	576224	132056
PKMYT1|9088	1234.91	1696.84	1035.04	2132.14	2311.09	2859.29	1135.94	1850.87	2109.58	1668.6	1736.39	1693.62	2122.04	1696.79	879.96	1152.05	3875.47	5248.21	2535.02	811.43	3502.85	1906.3	1778.16
PKN1|5585	10407	4705	2581	1213	5940	4317	3301	6312	5501	6881	8115	5782	9347	6540	2339	3068	3973	192	7127	1267	245	8823	5647
PKN2|5586	11050	4311	4190	6270	11109	2629	2765	3183	4253	7019	10643	6321	3523	10004	6789	14266	11446	5359	7566	1671	31006	15115	6277
PKN3|29941	1501	1734	992	875	3609	132	1080	2206	785	4325	1363	727	760	2182	285	1318	47	760	822	974	592	1374	543
PKNOX1|5316	925	708	910	912	864	550	437	768	1010	996	2183	1131	1128	964	1128	1051	995	1063	665	749	1268	2975	978
PKNOX2|63876	1	2	2	1	0	0	2	0	0	0	1428	0	3	16	2	0	0	16	0	8	9	4	15
PKP1|5317	0	0	570	3100	0	0	0	3	28	0	9	3	29	0	186	0	27	21730	253	321	19591	14913	52
PKP2|5318	2374	1268	5438	6486	1637	401	1163	2886	6717	2902	4923	3247	736	1299	5411	1442	12372	2378	6077	209	2792	1770	2343
PKP3|11187	3096	1957	3282	4071	184	5895	1963	4161	7008	160	7898	4176	1792	15	3892	4087	7757	5261	3021	545	9683	1785	1523
PKP4|8502	6903	6283	7388	2514	9253.99	4345	6073	5960	8696	11963	12277.99	7838.98	6556	8732.99	8345	9070.99	5854	5700	4638	1748	4421.99	8286	5709
PL-5283|647087	5094	1460	587	1155	1458	1245	1212	2163	4395	1215	2546	1093	1842	1802	1477	2035	1679	1008	2427	1584	1353	1928	1125
PLA1A|51365	0	0	0	0	0	2568	4	0	0	0	0	1	0	0	0	11	0	1	0	1	0	1	0
PLA2G10|8399	1	2	24	3	1	2	0	170	191	0	38	2	5	2	5	7	1	8	10	0	2	0	13
PLA2G12A|81579	3142	802	1033	923	1197	6194	717	3846	4757	1029	7922	3002	2373	3959	2507	4099	1932	819	1611	279	2027	2746	2088
PLA2G12B|84647	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
PLA2G15|23659	2633	419	496	459	1330	574	330	452	425	599	822	971	577	1015	950	900	949	874	518	802	1833	3203	593
PLA2G16|11145	509	1480	5333	155	567	480	909	6857	319	737	1242	239	555	1960	200	2018	727	167	1937	323	10	1349	429
PLA2G1B|5319	2	0	1	0	1	2	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	2
PLA2G2A|5320	0	1	0	0	0	0	1	136	0	0	7	0	10	0	44	0	5	0	0	0	1	0	0
PLA2G2C|391013	0	0	0	0	0	14	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
PLA2G2D|26279	0	0	0	0	0	0	0	3	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0
PLA2G2E|30814	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2F|64600	0	0	0	1	0	0	0	30	0	0	6	2	0	0	0	1	2	15	6	0	0	0	0
PLA2G3|50487	0	0	1	0	0	2	0	3	1	0	4	1	264	1	0	0	0	2	1	0	1	0	1
PLA2G4A|5321	68	676	1004	102	4	3293	2035	1480	1718	13	3742	772	403	2	1543	486	281	3024	237	0	3271	2464	741
PLA2G4C|8605	48	24	11	2	229	2	10	0	7	455	60	4	4	11	349	29	2	38	36	142	110	9	40
PLA2G4D|283748	0	1	2	2	0	1	0	1	8	0	165	22	96	0	2	13	0	6	15	2	2	2	5
PLA2G4E|123745	0	1	1	1	0	0	0	2	0	0	0	0	1	1	5	0	1	16	1	1	7	1	0
PLA2G4F|255189	1	0	21	8	0	19	0	202	101	0	13	6	3	0	118	7	89	62	126	0	12	0	7
PLA2G5|5322	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
PLA2G6|8398	1054	203	120	165	373	402	397	1929	346	394	1425	499	184	394	68	283	59	115	333	136	152	158	422
PLA2G7|7941	0	1	24	1	57	0	0	5	0	2	0	0	384	0	1	1	49	6	210	2	3	379	0
PLA2R1|22925	5	303	750	57	186	238	290	403	72	154	29	4	1	503	1059	82	4	564	28	276	1084	544	98
PLAA|9373	2254	3734	1202	1453	2934	2172	2319	1420	2224.96	2544	2815	876	3411	3088.95	3330.96	3676	3249	2007	2241	1469	2493	5640	3656
PLAC1L|219990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAC1|10761	1	14	76	14	14	8	9	10	83	34	223	40	1	10	26	106	9	109	13	9	166	28	1
PLAC2|257000	447	87	26	78	18	469	22	4375	15	13	49	39	32	306	910	24	360	219	29	33	69	19	29
PLAC4|191585	3	2	2	2	1	338	2	6	4	0	0	6	4	1	5	0	2	8	5	0	0	16	4
PLAC8L1|153770	2	8	3	2	16	2	9	7	10	20	13	1	6	3	0	11	4	7	6	1	6	5	6
PLAC8|51316	266	33	993	10	1109	0	3	1255	42	1540	88	0	4	488	318	76	1637	73	388	3182	5	461	262
PLAC9|219348	0	1	0	0	0	0	0	0	0	2	0	0	0	47	1	0	0	0	2	0	0	0	0
PLAG1|5324	584	20	488	138	1740	205	11	46	292	393	1701	588	45	10	88	421	528	816	457	233	208	1227	550
PLAGL1|5325	357.6	573.86	249.95	496.96	1819.34	362.99	569.92	653.98	284.88	1242.73	4	2	225.96	2	1	452	606.97	362.96	737.91	762.92	85	3577.93	1794.98
PLAGL2|5326	4063	2447	2120	1206	4028	1102	1388	3256	4501	4277	4187	4077	6989	4217	2210	4836	5851	1998	2607	602	2142	6000	2176
PLAT|5327	60	358	12783	737	615	9	44	45	63	1536	42490	9981	45	91	14108	345	1339	539	1865	2435	1707	16017	1748
PLAUR|5329	125	781	500	125	17303	507	465	2579	722	5212	7467	1977	71	70	1662	3006	2031	5384	4737	1421	3077	5044	2933
PLAU|5328	0	5136.14	12033.26	4601.15	16522.87	4	2419.52	513.34	771.68	8280.48	92032.01	21234.98	46	216	8118.18	31646.45	15240.85	9990.17	6960.67	4190.39	35682.32	40768.22	36327.67
PLB1|151056	4	22	10	25	7	37	3	6	8	10	340	21	3	2	154	25	34	17	124	66	28	84	67
PLBD1|79887	973	92	1172	1099	13357	635	44	7902	122	9851	78	565	748	3928	278	1789	618	128	2987	125	3398	1971	39
PLBD2|196463	6163	3195	2064	1419	6158	4585	2996	3514	120	2573	6875	2752	1668	2267	2746	3874	2523	3659	3235	3300	5372	11102	3682
PLCB1|23236	626	61	680	310	334	683	65	2075	7131	316	6687	262	471	0	2159	407	207	1080	59	1	202	882	1046
PLCB2|5330	15	6	35	7	5	17	1	13	79	4	59	9	9	2	14	606	45	62	76	24	35	157	13
PLCB3|5331	11431	4246	2668	2061	3237	1180	3558	2676	4392	3213	10857	5086	2600	5458	7393	4223	5155	3240	4580	1706	8040	4102	3030
PLCB4|5332	405	2951	235	217	4377	655	774	1986	811	5528	445	0	156	369	60	3321	296	163	1411	596	6	1086	229
PLCD1|5333	415	238	125	104	254	136	242	143	103	262	592	163	37	234	134	89	0	191	159	208	127	1046	125
PLCD3|113026	1742	5762	1102	1226	1440	760	3475	2254	4026	1602	3899	1127	747	3549	4588	1310	2691	2766	1789	1485	1536	2793	642
PLCD4|84812	305	303	122	87	429	286	132	178	190	168	285	86	388	757	158	234	159	139	217	31	228	232	223
PLCE1|51196	1205.99	3783	1978	34	884	22	1834.98	477	2559.99	886	1	9	38	725	960.98	727	858	62	1203	410	209	3492.9	3758.86
PLCG1|5335	7156.64	3848.93	1701.93	1586.94	7110	1300.94	3263.94	4112.96	4221.91	5331.82	6299.62	2994.86	3292.88	15279.13	3112.94	4152.94	928	2726	3517.68	1484	2276.94	4459.91	5651.88
PLCG2|5336	1178	447	144	481	158	841	474	369	7	426	457	18	55	621	143	18	84	820	123	125	259	921	229
PLCH1|23007	1	1426	97	12	150	235	1641	1983	511	174	1019	365	350	70	0	678	0	181	99	0	4	198	348
PLCH2|9651	53	56	391	8	6	0	2	2	3	5	158	165	13	30	592	0	6	272	14	49	2402	18	123
PLCL1|5334	0	2	35	2	24	2	3	0	0	27	6	0	7	5	1070	22	5	26	2	27	54	58	21
PLCL2|23228	455	372	128	103	219	164	222	167	318	162	160	0	368	1	1	192	78	82	299	137	22	750	122
PLCXD1|55344	6888	4385	330	105	2755	269	4255	461	584	2699	3465	751	229	2239	185	263	182	151	1127	230	280	442	262
PLCXD2|257068	1582	838.02	835.1	108	345	170	436.01	211	302	206	409.01	287	313	3	480.04	491	1043	325	987	55	200	1687	600.08
PLCXD3|345557	1	241	12	4	121	51	221	15	7	19	10	3	1	0	260	0	19	95	124	3	1	1238	2
PLCZ1|89869	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	16	0	2	1	0	2	1	0
